AUSTRALIA,AU,ASXT,XASX,S,ASX TRADEMATCH,ASX,SYDNEY,WWW.ASX.COM.AU,MAY 2012,ACTIVE,SEPTEMBER 2011,MERGER BETWEEN XASX AND XSFE.
AUSTRALIA,AU,ASXV,XASX,S,ASX - VOLUMEMATCH,ASX,SYDNEY,WWW.ASX.COM.AU/TRADING_SERVICES/ASX-TRADE.HTM,AUGUST 2011,ACTIVE,AUGUST 2011,"ASX LAUNCHED VOLUMEMATCH IN JUNE 2011, AN ASX TRADE EXECUTION FACILITY THAT ENABLES END USERS TO SEARCH FOR LIQUIDITY AND EXECUTE LARGE ORDERS ANONYMOUSLY."
AUSTRALIA,AU,AWBX,AWBX,O,AUSTRALIAN WHEAT BOARD,AWB,MELBOURNE,WWW.AWB.COM.AU,SEPTEMBER 2006,ACTIVE,SEPTEMBER 2006,
AUSTRALIA,AU,AWEX,AWEX,O,AUSTRALIAN WOOL EXCHANGE,AWEX,LANE COVE,WWW.AWEX.COM.AU,SEPTEMBER 2006,ACTIVE,SEPTEMBER 2006,
AUSTRALIA,AU,BLEV,BLEV,O,BLOCK EVENT,,MELBOURNE,WWW.BLOCKEVENT.COM,APRIL 2015,ACTIVE,APRIL 2015,ELECTRONIC BLOCK TRADING PLATFORM FOR EQUITIES.
AUSTRALIA,AU,BLXA,BLXA,O,INSTINET BLX (AU),,SYDNEY,WWW.INSTINET.COM,FEBRUARY 2018,ACTIVE,FEBRUARY 2018,BLOCK FOCUSED LIQUIDITY POOL FOR AUSTRALIAN EQUITIES.
AUSTRALIA,AU,CFAU,CSAU,S,CROSSFINDER AUSTRALIA,,SYDNEY,WWW.CREDIT-SUISSE.COM/HK/EN/INVESTMENT-BANKING/CLIENT-OFFERING/AES/CROSSFINDER.HTML,OCTOBER 2015,ACTIVE,OCTOBER 2015,EQUITIES ALTERNATIVE LIQUIDITY POOL AUSTRALIA
AUSTRALIA,AU,CGMA,CGMA,O,CITI MATCH AUSTRALIA,,SYDNEY,HTTP://ICG.CITI.COM/ICG/GLOBAL_MARKETS/PRODUCT_SOLUTIONS/GLOBAL_EQUITIES/CITI_MATCH.JSP,JULY 2012,ACTIVE,JULY 2012,
AUSTRALIA,AU,CHIA,CHIA,O,CHI-X AUSTRALIA,,SYDNEY,WWW.CHI-X.COM/APAC/,APRIL 2010,ACTIVE,APRIL 2010,
AUSTRALIA,AU,CLAU,CLAU,O,CLSA AUSTRALIA - DARK,,SYDNEY,WWW.CLSA.COM,JULY 2015,ACTIVE,JULY 2015,DARK POOL.
AUSTRALIA,AU,CSAU,CSAU,O,CREDIT SUISSE EQUITIES (AUSTRALIA) LIMITED,,SYDNEY,WWW.CREDIT-SUISSE.COM,SEPTEMBER 2015,ACTIVE,SEPTEMBER 2015,REGISTERED BROKER DEALER IN AUSTRALIA
AUSTRALIA,AU,CXAC,CHIA,S,CHI-X MARKET AUSTRALIA - LIMIT VENUE,CXA,SYDNEY,WWW.CHI-X.COM.AU,MAY 2014,ACTIVE,SEPTEMBER 2012,CHI-X LIMIT VENUE
AUSTRALIA,AU,CXAF,CHIA,S,CHI-X AUSTRALIA MARKET PEG (FARPOINT) VENUE,CXA,SYDNEY,WWW.CHI-X.COM.AU,MAY 2014,ACTIVE,MAY 2014,CHI-X MARKET PEG (FARPOINT) VENUE
AUSTRALIA,AU,CXAM,CHIA,S,CHI-X MOC,,SYDNEY,WWW.CHI-X.COM.AU,SEPTEMBER 2013,ACTIVE,SEPTEMBER 2013,CHI-X MARKET ON CLOSE VENUE
AUSTRALIA,AU,CXAN,CHIA,S,CHI-X AUSTRALIA PRIMARY PEG (NEARPOINT) VENUE,CXA,SYDNEY,WWW.CHI-X.COM.AU,MAY 2014,ACTIVE,MAY 2014,CHI-X PRIMARY PEG (NEARPOINT) VENUE
AUSTRALIA,AU,CXAP,CHIA,S,CHI-X AUSTRALIA MID-POINT VENUE,CXA,SYDNEY,WWW.CHI-X.COM.AU,MAY 2014,ACTIVE,MAY 2014,CHI-X MID-POINT VENUE
AUSTRALIA,AU,CXAQ,CHIA,S,CHI-X AUSTRALIA -QUOTED MANAGED FUNDS,,SYDNEY,WWW.CHI-X.COM.AU,DECEMBER 2016,ACTIVE,DECEMBER 2016,CHI-X QUOTED MANAGED FUNDS.
AUSTRALIA,AU,CXAR,CHIA,S,CHI-X AUSTRALIA - TRANSFERABLE CUSTODY RECEIPT MARKET,CHI-X,SYDNEY,WWW.CHI-X.COM.AU,NOVEMBER 2016,ACTIVE,NOVEMBER 2016,CHI-X TCR MARKET.
